Indicator Code,Data Element Code,Name,Definition
EE1.1,EE1.1(1),(1) Number of households  having access to electricity   ,This is the total number of households that have access to electricity
EE1.1,EE1.1(2),(2) Total number of households in the municipality,"This is the total number of households (of all types - formal, informal, and traditional) within the municipal area of jurisdiction"
EE1.1,,,
EE1.1,,,
EE1.1,,,
EE1.1,,,
EE1.1,,,
EE1.11,EE1.11(1),(1) Residential supply points energised and commissioned by the municipality,The number of dwellings that are newly  connected to mains electricity supply by the municipality.
EE1.11,,,
EE1.11,,,
EE1.11,,,
EE1.11,,,
EE1.11,,,
EE1.11,,,
EE1.12,EE1.12(1),(1) The number of residential supply points energised and commissioned by Eskom within muncipal jurisdiction,The number of dwellings that are newly connected to the mains electricity supply  by Eskom within municipal jurisidiction
EE1.12,,,
EE1.12,,,
EE1.12,,,
EE1.12,,,
EE1.12,,,
EE1.12,,,
EE2.1,EE2.1(1),(1) Number of households receiving Free Basic Electricity,Total number of households in the municipality that receive FBE
EE2.1,EE2.1(2),(2) Number of households with access to electricity in the municipality,This is the total number of households with an electiricty connection within the municipality
EE2.1,,,
EE2.1,,,
EE2.1,,,
EE2.1,,,
EE2.1,,,
EE2.11,EE2.11(1),(1) Amount of FBE provided (in MWh),Amount of municipal electricity sales (MWh) that are funded by FBE.
EE2.11,EE2.11(2),(2)  Amount of residential electricity sales (in MWh),Amount of municipal electricity sales (MWh) for the residential customer category
EE2.11,,,
EE2.11,,,
EE2.11,,,
EE2.11,,,
EE2.11,,,
EE2.2,EE2.2(1),(1) Number of low income households that spend more than 10% of their income on electricity,"For defined threshold of low income per household, this will be the number of households that spend more than 10% of their income on electricity"
EE2.2,EE2.2(2),(2) Total number of low income households,This will be the number of households that fit the definition of a low income household
EE2.2,,,
EE2.2,,,
EE2.2,,,
EE2.2,,,
EE2.2,,,
EE3.1,EE3.1(1),(1) Time to restore supply for every customer impacted by a sustained electricity supply disruption incident x from the time it has been logged,The time it takes to restore electricity supply to every customer who suffered a sustained disruption in their supply
EE3.1,EE3.1(2),(2) Total number of electricity customers affected by the incident x,The number of customers who faced a sustained interruption in their supply during any incident
EE3.1,EE3.1(3),(3) Total number of electricty customers,Total number of municipal customers that are registered on municipal database for receiving electricity services from the municipality
EE3.1,,,
EE3.1,,,
EE3.1,,,
EE3.1,,,
EE3.11,EE3.11(1),(1) number of unplanned outages restored within x hours,Sum of all occurrences of unplanned outages that were restored within x hours
EE3.11,EE3.11(2),(2) Total number of unplanned outages,total number of unplanned outages logged on the system
EE3.11,,,
EE3.11,,,
EE3.11,,,
EE3.11,,,
EE3.11,,,
EE3.2,EE3.2(1),(1) time to restore supply for every customer impacted by an electricity supply disruption incident x from the time it has been logged,The time it takes to restore electricity supply to every customer who suffered a disruption in their supply
EE3.2,EE3.2(2),(2) Total number of electricity customers affected by the incident x,The number of customers who faced a interruption in their supply during an incident x
EE3.2,EE3.2(3),(3) Total number of electricity customers affected by any supply interruption incident,The number of customers who faced a interruption in their supply during any incident
EE3.2,,,
EE3.2,,,
EE3.2,,,
EE3.2,,,
EE3.21,EE3.21(1),(1) Actual number of maintenance hours for planned/preventative maintenance,Number of hours recorded for planned maintenance
EE3.21,EE3.21(2),(2) Budgeted number of maintenance hours for planned/preventative maintenance,Number of hours budgeted for planned maintenance
EE3.21,,,
EE3.21,,,
EE3.21,,,
EE3.21,,,
EE3.21,,,
EE3.3,EE3.3(1),(1) Total number of electricity customers affected by the sustained incident x,The number of customers who faced a sustained interruption in their supply during an incident x
EE3.3,EE3.3(2),(2) Total number of electricty customers,Total number of municipal customers that are registered on municipal database for receiving electricity services from the municipality
EE3.3,,,
EE3.3,,,
EE3.3,,,
EE3.3,,,
EE3.3,,,
EE3.4,EE3.4(1),(1) Total number of sustained supply interruption incidents that affected customers,The number of times sustained supply interruptions took place in the municipality that had an impact on customers
EE3.4,EE3.4(2),(2) Total number of distinct electricity customers interrupted,The number of customers who faced one or more sustained interruptions in their supply during an incident or incidents 
EE3.4,,,
EE3.4,,,
