Category,Category Code,Tier,Reporting Responsibility,Measurement,Indicator Code,Indicator,Alignment,Indicator Formula,Frequency of Reporting,Definition
Energy and Electricity,EE,Tier 1,National,Percentage of households,EE1.1,Percentage of households with access to electricity,Improved access to electricity,(1) Number of households  having access to electricity / (2) Total number of households within the municipal area) *100,Annual,Percentage of households that have access to electricity services within the municipal area.
Energy and Electricity,EE,Tier 1,Metro,Number of connections,EE1.11,Number of dwellings provided with connections to mains electricity supply by the municipality,Improved access to electricity,(1) Count of residential supply points commissioned and energised by the municipality,Quarterly,The number of new residential electricity connections to dwellings provided by the municipality 
Energy and Electricity,EE,Tier 3,National,Number of connections,EE1.12,Number of new dwellings provided with connections to mains electricity supply  by Eskom within municipal jurisdiction,Improved access to electricity,(1) Count of residential supply points commissioned and energised by Eskom within muncipal jurisdiction,Annual,The number of new residential electricity connections to dwellings provided by Eskom within municipal jurisdiction
Energy and Electricity,EE,Tier 3,National,Percentage of households,EE2.1,Households receiving Free Basic Electricity as a percentage of all households with electricity connections,Improved affordability of electricity,(1) Number of households receiving FBE /(2) Total number of of households with access to electricity in the municipality)*100,Annual,This indicator is the percentage of households receiving free basic electricity of all the households receiving elelctricity within the municipal jurisdiction. 
Energy and Electricity,EE,Tier 3,Metro,Percentage of MWh,EE2.11,FBE provision levels as a percentage of total residential electricity provision (in terms of MWh),Improved affordability of electricity,(1) Amount of FBE (in MWh) provided / (2) Amount of residential electricity sales (MWh))*100,Annual,"This indicator measures the reliance of municipal residents on FBE for affordable access to electricity by measuring how much of electricity provided by the municipality in MWh is subsidised through FBE.   In other words, this indicator measures the extent of support provided by the municipality to its residents."
Energy and Electricity,EE,Tier 3,National,Percentage of households,EE2.2,Percentage of low-income households that spend more than 10% of their monthly income on electricity,Improved affordability of electricity,(1) Number of low income households that spend more than 10% of their income on electricity / (2) Total number of low income households)*100,Annual,The indicator measures the percentage of the household's income spent on electricity services for low income households.
Energy and Electricity,EE,Tier 1,Metro,Average interruption minutes,EE3.1,System Average Interruption Duration Index,Improved reliability of electricity service,Sum of (1) Restoration time * (2) Number of customers affected by sustained supply interruption) / (3) Total number of customers served electricity,Quarterly,Key measure from system perspective to understand how long the average customer went without electricity supply in the given time period.
Energy and Electricity,EE,Tier 1,Metro,Percentage of outages,EE3.11,Percentage of unplanned outages that are restored to supply within industry standard timeframes,Improved reliability of electricity service,"(1) Number of unplanned outages restored within x hours / (2) Total number of unplanned outages)* 100, where x is based on industry standards (0.5, 1.5, 3.5, 24) and as per NRS.",Quarterly,The proportion of MTTRs that are within industry standards where MTTR is the average time it takes to restore unplanned outages
Energy and Electricity,EE,Tier 1,Metro,Average interruption minutes,EE3.2,Customer Average Interruption Duration Index,Improved reliability of electricity service,Sum of (1) Restoration time * (2) Number of customers affected by supply interruption) / (3) Total number of customers affected by any supply interruption,Quarterly,A measure of the average time to restore service for a customer who suffered a sustained interruption in their supply
Energy and Electricity,EE,Tier 1,Metro,Percentage of planned/preventative maintenance hours,EE3.21,Percentage of Planned Maintenance Performed,Improved reliability of electricity service,(1) Actual number of maintenance hours for planned/preventative maintenance / (2) Budgeted number of maintenance hours for planned/preventative maintenance)*100,Quarterly,Actual planned/preventative maintenance effort (hrs) as a percentage of budgeted planned/preventative maintenance effort (hrs)
