"DEMARCATION_CDE","YEARPERIOD","CFLOW_CDE","ACT_OR_BUD"
"BUF","2012AUDA","3000",0
"BUF","2012AUDA","3010",522514480
"BUF","2012AUDA","3020",0
"BUF","2012AUDA","3030",1137197632
"BUF","2012AUDA","3040",239551504
"BUF","2012AUDA","3050",197957711
"BUF","2012PAUD","3080",13387803
"BUF","2012PAUD","3090",58825271
"BUF","2012PAUD","3100",23919901
"BUF","2013AUDA","3100",22204094
"BUF","2013AUDA","3110",0
"BUF","2013AUDA","3120",5979206
"BUF","2013AUDA","3130",15299244
"BUF","2014PAUD","4170",4444727501
"BUF","2014PAUD","4180",321047044
"BUF","2014PAUD","4190",1841692449
"BUF","2014PAUD","4200",2162739493
"BUF","2015ADJBM01","3000",0
"BUF","2015ADJBM01","3010",621297735
"BUF","2015ADJBM01","3020",69524
"BUF","2015ADJBM01","3030",46658890
"BUF","2015ADJBM02","3030",177710315
"BUF","2015ADJBM02","3040",54468946
"BUF","2015ADJBM02","3050",19072906
"BUF","2015ADJBM02","3060",17688467
"BUF","2015M02","3020",0
"BUF","2015M02","3030",117701847
"BUF","2015M02","3040",30241093
"BUF","2015M02","3050",20252349
"BUF","2015M02","3060",21670606
"BUF","2015AUDA","4150",57336210
"BUF","2015AUDA","4160",-6125579
"BUF","2015AUDA","4170",5000963490
"BUF","2015ORGBM01","3150",272358000
"BUF","2015ORGBM01","3160",23165597
"BUF","2015ORGBM01","3170",1010437546
"BUF","2015ORGBM01","3180",0
"BUF","2015ORGBM01","3190",0
"BUF","2015ORGBM01","3200",0
"BUF","2015PAUD","3040",394281598
"BUF","2015PAUD","3050",278831681
"BUF","2015PAUD","3060",261806838
"BUF","2015PAUD","3070",24018406
"BUF","2015PAUD","3080",17430173
"BUF","2016IBY1","3030",1712146516
"BUF","2016IBY1","3040",418966588
"BUF","2016IBY1","3050",316040620
"BUF","2016IBY1","3060",287389851
"BUF","2016IBY1","3070",16636542
"BUF","2016IBY2","3220",0
"BUF","2016IBY2","3230",157823000
"BUF","2016IBY2","3240",0
"BUF","2016IBY2","3250",0
"CPT","2012AUDA","3040",1817183377
"CPT","2012AUDA","3050",1002897212
"CPT","2012AUDA","3060",813287010
"CPT","2012AUDA","3070",291714043
"CPT","2012AUDA","3080",289736333
