"Demarcation Code","YEARPERIOD","A1OTH_CDE","ACT_OR_BUD"
"BUF","2012AUDA","5001",
"BUF","2012AUDA","5002",
"BUF","2012AUDA","5003",
"BUF","2012AUDA","5004",219320651
"BUF","2012AUDA","5005",219320651
"BUF","2012PAUD","5001",
"BUF","2014AUDA","5004",285686065
"BUF","2014AUDA","5005",285686065
"BUF","2014PAUD","5001",
"BUF","2014PAUD","5002",
"BUF","2014PAUD","5003",
"BUF","2014PAUD","5004",311072443
"BUF","2014PAUD","5005",311072443
"BUF","2015ADJB","5001",
"BUF","2015ADJB","5002",
"BUF","2015ADJB","5003",
"BUF","2015ADJB","5004",327748811
"BUF","2015ADJB","5005",327748811
"BUF","2015M01","5001",
"BUF","2015M01","5002",
"BUF","2015M01","5003",
"BUF","2015M01","5004",4175916
"BUF","2015M01","5005",4175916
"BUF","2015M02","5001",
"BUF","2016ORGB","5003",
"BUF","2016ORGB","5004",372009710
"BUF","2016ORGB","5005",372009710
"CPT","2012AUDA","5001",446891160
"CPT","2012AUDA","5002",180350016
"EKU","2015M12","5001",80053513
"EKU","2015M12","5002",94951396
"EKU","2015M12","5003",109482890
"EKU","2015M12","5004",59854004
"EKU","2015M12","5005",344341803
"EKU","2015ORGB","5001",725194591
"EKU","2015ORGB","5002",1630018935
"EKU","2015ORGB","5003",
"EKU","2015ORGB","5004",
"EKU","2015ORGB","5005",2355213526
"EKU","2015PAUD","5001",687088625
"EKU","2015PAUD","5002",1658262000
"EKU","2015PAUD","5003",
"BUF","2016IBY1","5002",
"BUF","2016IBY1","5003",
"BUF","2016IBY1","5004",416994682
"BUF","2016IBY1","5005",416994682
"BUF","2016IBY2","5001",
"BUF","2016IBY2","5002",
"BUF","2016IBY2","5003",
"BUF","2016IBY2","5004",450611983
"BUF","2016IBY2","5005",450611983
