code,label,position_in_return_form,return_form_structure,composition
0120,Roads,1,line_item,
0130,Road Structures,2,line_item,
0140,Road Furniture,3,line_item,
0150,Capital Spares,4,line_item,
0170,Drainage Collection,5,line_item,
0180,Storm water Conveyance,6,line_item,
0190,Attenuation,7,line_item,
0210,Power Plants,8,line_item,
0220,HV Substations,9,line_item,
0230,HV Switching Station,10,line_item,
0240,HV Transmission Conductors,11,line_item,
0250,MV Substations,12,line_item,
0260,MV Switching Stations,13,line_item,
0270,MV Networks,14,line_item,
0280,LV Networks,15,line_item,
0290,Capital Spares,16,line_item,
0310,Dams and Weirs,17,line_item,
0320,Boreholes,18,line_item,
0330,Reservoirs,19,line_item,
0340,Pump Stations,20,line_item,
0350,Water Treatment Works,21,line_item,
0360,Bulk Mains,22,line_item,
0370,Distribution,23,line_item,
0380,Distribution Points,24,line_item,
0390,PRV Stations,25,line_item,
0400,Capital Spares,26,line_item,
0420,Pump Station,27,line_item,
0430,Reticulation,28,line_item,
0440,Waste Water Treatment Works,29,line_item,
0450,Outfall Sewers,30,line_item,
0460,Toilet Facilities,31,line_item,
0470,Capital Spares,32,line_item,
0490,Landfill Sites,33,line_item,
0500,Waste Transfer Stations,34,line_item,
0510,Waste Processing Facilities,35,line_item,
0520,Waste Drop-off Points,36,line_item,
0530,Waste Separation Facilities,37,line_item,
0540,Electricity Generation Facilities,38,line_item,
0550,Capital Spares,39,line_item,
0570,Rail Lines,40,line_item,
0580,Rail Structures,41,line_item,
0590,Rail Furniture,42,line_item,
0600,Drainage Collection,43,line_item,
0610,Storm water Conveyance,44,line_item,
0620,Attenuation,45,line_item,
0630,MV Substations,46,line_item,
0640,LV Networks,47,line_item,
0650,Capital Spares,48,line_item,
0670,Sand Pumps,49,line_item,
0680,Piers,50,line_item,
0690,Revetments,51,line_item,
0700,Promenades,52,line_item,
0710,Capital Spares,53,line_item,
0730,Data Centres,54,line_item,
0740,Core Layers,55,line_item,
0750,Distribution Layers,56,line_item,
0760,Capital Spares,57,line_item,
0790,Halls,58,line_item,
0800,Centres,59,line_item,
0810,Crèches,60,line_item,
0820,Clinics/Care Centres,61,line_item,
0830,Fire/Ambulance Stations,62,line_item,
0840,Testing Stations,63,line_item,
0850,Museums,64,line_item,
0860,Galleries,65,line_item,
0870,Theatres,66,line_item,
0880,Libraries,67,line_item,
0890,Cemeteries/Crematoria,68,line_item,
0900,Police,69,line_item,
0910,Parks,70,line_item,
0920,Public Open Space,71,line_item,
0930,Nature Reserves,72,line_item,
0940,Public Ablution Facilities,73,line_item,
0950,Markets,74,line_item,
0960,Stalls,75,line_item,
0970,Abattoirs,76,line_item,
0980,Airports,77,line_item,
0990,Taxi Ranks/Bus Terminals,78,line_item,
1000,Capital Spares,79,line_item,
1020,Indoor Facilities,80,line_item,
1030,Outdoor Facilities,81,line_item,
1040,Capital Spares,82,line_item,
1060,Monuments,83,line_item,
1070,Historic Buildings,84,line_item,
1080,Works of Art,85,line_item,
1090,Conservation Areas,86,line_item,
1100,Other Heritage,87,line_item,
1130,Improved Property,88,line_item,
1140,Unimproved Property,89,line_item,
1150,Non-revenue Generating,90,line_item,
1160,Improved Property,91,line_item,
1170,Unimproved Property,92,line_item,
1200,Municipal Offices,93,line_item,
1210,Pay/Enquiry Points,94,line_item,
1220,Building Plan Offices,95,line_item,
1230,Workshops,96,line_item,
1240,Yards,97,line_item,
1250,Stores,98,line_item,
1260,Laboratories,99,line_item,
1270,Training Centres,100,line_item,
1280,Manufacturing Plant,101,line_item,
1290,Depots,102,line_item,
1300,Capital Spares,103,line_item,
1320,Staff Housing,104,line_item,
1330,Social Housing,105,line_item,
1340,Capital Spares,106,line_item,
1360,Biological or Cultivated Assets,107,line_item,
1380,Servitudes,108,line_item,
1400,Water Rights,109,line_item,
1410,Effluent Licenses,110,line_item,
1420,Solid Waste Licenses,111,line_item,
1430,Computer Software and Applications,112,line_item,
1440,Load Settlement Software Applications,113,line_item,
1450,Unspecified,114,line_item,
1470,Computer Equipment,115,line_item,
1490,Furniture and Office Equipment,116,line_item,
1510,Machinery and Equipment,117,line_item,
1530,Transport Assets,118,line_item,
1550,Land,119,line_item,
1570,"Zoo's, Marine and Non-biological Animals",120,line_item,
