code,label,position_in_return_form,return_form_structure,composition
0200,Property rates,1,line_item,
0300,Service charges - electricity revenue,2,line_item,
0400,Service charges - water revenue,3,line_item,
0500,Service charges - sanitation revenue,4,line_item,
0600,Service charges - refuse revenue,5,line_item,
0800,Rental of facilities and equipment,6,line_item,
0900,Interest earned - external investments,7,line_item,
1000,Interest earned - outstanding debtors,8,line_item,
1100,Dividends received,9,line_item,
1200,"Fines, penalties and forfeits",10,line_item,
1300,Licences and permits,11,line_item,
1400,Agency services,12,line_item,
1500,Transfers and subsidies,13,line_item,
1600,Other revenue,14,line_item,
1700,Gains on disposal of PPE,15,line_item,
2000,Employee related costs,16,line_item,
2100,Remuneration of councillors,17,line_item,
2200,Debt impairment,18,line_item,
2300,Depreciation and asset impairment,19,line_item,
2400,Finance charges,20,line_item,
2500,Bulk purchases,21,line_item,
2600,Other materials,22,line_item,
2700,Contracted services,23,line_item,
2800,Transfers and subsidies,24,line_item,
2900,Other expenditure,25,line_item,
3000,Loss on disposal of PPE,26,line_item,
3300,Transfers and subsidies - capital (monetary allocations) (National / Provincial and District),27,line_item,
3400,"Transfers and subsidies - capital (monetary allocations) (Nat / Prov Departm Agencies, Households, Non-profit Institutions, Private Enterprises, Public Corporatons, Higher Educ Institutions)",28,line_item,
3500,Transfers and subsidies - capital (in-kind - all),29,line_item,
3700,Taxation,30,line_item,
3900,Attributable to minorities,31,line_item,
4100,Share of surplus/ (deficit) of associate,32,line_item,
