"Demarcation Code","YEARPERIOD","FUNCTION_CDE","INCEXP_CDE","ACT_OR_BUD"
"BUF","2012AUDA","0101","0100",
"BUF","2012AUDA","0101","0200",
"BUF","2012AUDA","0101","0300",
"BUF","2012AUDA","0101","0400",
"BUF","2012AUDA","0101","0700",
"BUF","2012AUDA","0101","0800",
"BUF","2012AUDA","0101","1000",
"BUF","2012AUDA","0101","1100",
"BUF","2012AUDA","0101","1300",
"BUF","2012AUDA","0101","1400",
"BUF","2012AUDA","0101","1500",
"BUF","2012AUDA","0101","1600",21258695
"BUF","2012AUDA","0101","1610",1949313
"BUF","2012AUDA","0101","1700",10614
"BUF","2012AUDA","0101","1800",
"BUF","2012PAUD","0101","6280",
"BUF","2012PAUD","0101","6600",
"BUF","2012PAUD","0101","6700",-110313570
"BUF","2012PAUD","0191","0100",
"BUF","2012PAUD","0191","0200",544666014
"BUF","2012PAUD","0191","0300",
"BUF","2015ADJB","0706","5500",
"BUF","2015ADJB","0706","5600",-3491732
"BUF","2015ADJB","0706","5700",
"BUF","2015ADJB","0706","5800",
"BUF","2015ADJB","0706","5900",-3491732
"BUF","2015ADJB","0706","6200",
"BUF","2015ADJB","0706","6210",
"TSH","2015M12","1405","1700",11105246
"TSH","2015M12","1405","1800",
"TSH","2015M12","1405","1900",11227064
"TSH","2015M12","1405","2000",
"TSH","2015M12","1405","2100",11227064
"TSH","2015M12","1405","2200",
"TSH","2015M12","1405","2300",
"TSH","2015ORGB","1401","5200",109606761
"TSH","2015ORGB","1401","5300",
"TSH","2015ORGB","1401","5400",-46054761
"TSH","2015ORGB","1401","5500",
"TSH","2015ORGB","1401","5600",-46054761
"TSH","2015PAUD","1405","0400",
"TSH","2015PAUD","1405","0700",13535729
"TSH","2015PAUD","1405","0800",1262065
"TSH","2016IBY1","1401","6700",-81226186
"TSH","2016IBY1","1403","0100",
"TSH","2016IBY1","1403","0200",
"TSH","2016IBY1","1403","0300",
"TSH","2016IBY1","1403","0400",
"TSH","2016IBY1","1403","0700",
"TSH","2016IBY2","0801","4000",
"TSH","2016IBY2","0801","4100",
"TSH","2016IBY2","0801","4110",2331100
"TSH","2016IBY2","0801","4200",5404800
"TSH","2016IBY2","0801","4300",
"TSH","2016IBY2","0801","4400",128084600
"TSH","2016IBY2","0801","4500",
"TSH","2016ORGB","1405","5100",6297863
"TSH","2016ORGB","1405","5200",83584955
"TSH","2016ORGB","1405","5300",
"TSH","2016ORGB","1405","5400",70913345
"TSH","2016ORGB","1405","5500",
"TSH","2016ORGB","1405","5600",70913345
"TSH","2016ORGB","1405","5700",
"TSH","2016ORGB","1405","5800",
"TSH","2016ORGB","1405","5900",70913345
"TSH","2016ORGB","1405","6200",
